topic_id,words,scores
40,"['mid', 'trash', 'better', 'gameplay', 'awesome', 'as', 'soul', 'work', 'launch', 'year']","[0.3720652299466789, 0.32825591786691755, -0.31987091857561833, -0.28585814938628756, 0.2680583771062604, 0.234796549698029, 0.1802051127168234, 0.1624223930343389, -0.16224281358216208, -0.14545004940518252]"
41,"['as', 'mid', 'fucking', 'awesome', 'trash', 'pretty', 'launch', 'greatest', 'beautiful', 'cool']","[-0.7063439782493554, 0.5028074069326762, 0.19551469617403353, 0.11885319858916159, 0.1120007367683208, -0.09407535629722658, 0.0867729275636486, 0.07739154250741732, -0.07668804355283976, -0.0748344708717798]"
42,"['launch', 'buggy', 'unplayable', 'gameplay', 'mid', 'trash', 'as', 'app', 'terrible', 'nuclear']","[-0.4265605583876843, 0.31031415241808047, 0.28419060776369465, 0.22238800374694495, 0.1787568107797188, -0.1698237293463302, -0.1631675613238657, 0.15564205085187957, 0.1407026173707167, 0.13945340300668155]"
43,"['buggy', 'gameplay', 'bug', 'experience', 'mid', 'awesome', 'greatest', 'quest', 'story', 'soul']","[0.37228847681201577, -0.3416494118478378, -0.27388734597963826, -0.21801191835069492, -0.19640316581950568, 0.1776261961096968, -0.17659913665352558, 0.15831698114021334, 0.15688752311109894, 0.1488819445693865]"
44,"['soul', 'gameplay', 'greatest', 'better', 'launch', 'story', 'feel', 'favorite', 'elden', 'money']","[0.3277872466184849, 0.28505090826713025, -0.24213390045682995, -0.2036467787487121, 0.2024012693750737, -0.1836221719839031, 0.18233856890936054, 0.16599125006092696, -0.16180121751354629, -0.15745854442608292]"
45,"['nuclear', 'patrolling', 'winter', 'mojave', 'wish', 'make', 'launch', 'almost', 'app', 'gameplay']","[-0.3942634111880498, -0.3929695260910836, -0.38414954085921194, -0.37690487875597356, -0.2753471113646442, -0.21401299843008673, -0.19307409622345376, -0.1913395811606421, 0.15170081890641973, 0.14659326667394293]"
46,"['launch', 'buggy', 'work', 'year', 'wont', 'witcher', 'favorite', 'disco', 'elden', 'ring']","[-0.4956168216467285, -0.31755813418628215, 0.2711321860654833, 0.17607060571731795, -0.15624073464829907, 0.15563857654536462, 0.1535699485327487, -0.14535823772342876, -0.1424832513048443, -0.1392794135129348]"
47,"['buggy', 'classic', 'favorite', 'new', 'vega', 'year', 'better', 'work', 'elden', 'save']","[0.4201811026243423, 0.3691606169461884, 0.31642934556083857, -0.20536481904719364, -0.2035016389153597, -0.1873644445216145, 0.1632872019928405, 0.14639042487554516, -0.14177024360806323, -0.1411636369839957]"
48,"['greatest', 'cool', 'pretty', 'witcher', 'favorite', 'year', 'feel', 'disco', 'quest', 'save']","[-0.40538694589230867, -0.2953842903754402, -0.28601682808517315, 0.2667268570607821, 0.23566172175358233, -0.19838525580029623, -0.18960776739166202, -0.15041314938050077, 0.14616382027002245, 0.14517519767532092]"
49,"['greatest', 'disco', 'classic', 'zaum', 'elysium', 'year', 'save', 'creator', 'trilogy', 'buggy']","[0.5381833843995499, -0.37948434000616366, 0.3013139258898657, -0.22031667453949408, -0.2180734175151739, -0.14915112314208515, 0.14548136188686292, -0.13832512600686228, 0.13514242358116496, 0.11325540350260621]"
50,"['classic', 'greatest', 'year', 'gameplay', 'graphic', 'witcher', 'favorite', 'hate', 'soul', 'elden']","[0.7309843985953532, -0.2746850032590879, 0.20583171895647687, -0.1877772291217063, 0.13218368569729197, -0.11855353535571539, -0.11759225091372481, -0.1160822192723724, -0.11080195621180357, 0.10562189656683064]"
51,"['graphic', 'year', 'gameplay', 'work', 'pretty', 'run', 'quest', 'far', 'as', 'beautiful']","[-0.3411019988348217, 0.2552866728201445, 0.2456637585526682, 0.2284885808370715, -0.22777277454913142, -0.21046304032156843, 0.2041317397652031, -0.16495805740543723, 0.15582365657912528, -0.14812462392680842]"
52,"['classic', 'save', 'disco', 'soul', 'gameplay', 'graphic', 'elden', 'buggy', 'unplayable', 'ring']","[-0.3586364768716839, -0.2868858674585864, -0.25789063300285997, -0.2219002878834929, -0.19476808452397595, 0.18918236782395706, 0.14915040444224795, 0.1448614315789474, 0.14443206872900918, 0.1438064675803382]"
53,"['witcher', 'unplayable', 'cool', 'soul', 'feel', 'favorite', 'update', 'new', 'run', 'elden']","[-0.28850977486524904, -0.26947986388373146, 0.26440292151389083, -0.21083758641000402, -0.20429295091971703, 0.19187473005305414, -0.1842593292180576, -0.17743699531943147, -0.1679390904792914, 0.1647160135191167]"
54,"['graphic', 'quest', 'greatest', 'side', 'disco', 'witcher', 'zaum', 'main', 'soul', 'feel']","[0.4338717686706111, 0.4297952438951753, 0.2307851900995139, 0.21054182169666208, 0.19886267795509047, 0.19374116885449044, 0.16100003546382613, 0.132687030526244, 0.12398196717828848, -0.12384699626045804]"
55,"['unplayable', 'buggy', 'new', 'vega', 'greatest', 'terrible', 'save', 'experience', 'fallout', 'graphic']","[0.3305996955986185, -0.3272248395239436, -0.2834282221808854, -0.27539664826474664, 0.21040894186275574, 0.18513314835854272, -0.17682379266237638, -0.17441433398721473, 0.16390747194782396, -0.1636254421672313]"
56,"['witcher', 'graphic', 'cool', 'better', 'pretty', 'save', 'soul', 'first', 'rpg', 'gameplay']","[-0.5362117872952865, 0.27871557726794427, -0.2571486111288642, 0.2166352250607354, -0.2090796648109595, 0.14399389754801104, 0.13485576276004357, -0.12741455059235246, 0.12427403354099159, -0.11514666436758698]"
57,"['hesitation', 'cool', 'terrible', 'defeat', 'unplayable', 'need', 'disco', 'favorite', 'original', 'money']","[-0.316328817051612, -0.2741581688403833, 0.25986245148320825, -0.25918647627398544, -0.22793071932828235, -0.174074513776267, -0.16112667751836693, -0.15896663977659084, 0.1543248814175212, 0.14133896746287855]"
58,"['hesitation', 'defeat', 'cool', 'new', 'favorite', 'vega', 'witcher', 'run', 'quest', 'experience']","[0.6603886833086745, 0.5402231302118022, -0.1725361226650812, -0.1455866098426814, -0.13411035784936345, -0.12914175243481166, -0.09647488942593689, 0.09129559600673214, 0.08624773680015708, 0.08141448199468154]"
59,"['terrible', 'vega', 'new', 'hesitation', 'fallout', 'need', 'hate', 'favorite', 'update', 'defeat']","[0.4484765031117549, 0.3248128015568524, 0.32121496925537024, 0.1876810425642449, -0.18293511557460293, -0.1751723958376605, 0.15865941832680203, 0.1577587912966754, 0.15719147344177573, 0.15342493505955102]"
60,"['terrible', 'graphic', 'gameplay', 'zaum', 'quest', 'witcher', 'creator', 'garbage', 'need', 'kim']","[0.36624293254525037, 0.31062738244600263, -0.25122322314007667, -0.24612920298884128, -0.19577253607428197, 0.18168868980066147, -0.15919356189398637, -0.15575855310237763, -0.14063935196748925, 0.133846837131994]"
61,"['save', 'quest', 'witcher', 'unplayable', 'series', 'vega', 'first', 'garbage', 'side', 'load']","[-0.3110130360447702, 0.2769234974282815, -0.2766669290979314, 0.20064617311439753, -0.19590921349581333, 0.18751699549702294, 0.18382375432426104, -0.15652749318612466, 0.1413363520219672, -0.13694324019704524]"
62,"['unplayable', 'twice', 'save', 'cool', 'disco', 'sekiro', 'witcher', 'experience', 'vega', 'buggy']","[0.24923350756801801, 0.21943239481247112, 0.21232356505340458, 0.20663741418673162, -0.19993232175386225, 0.19849144485656187, -0.19697124303113314, 0.19343183178484166, -0.1792687617056996, -0.16252443843303419]"
63,"['kim', 'disco', 'garbage', 'sex', 'kitsuragi', 'zaum', 'update', 'trilogy', 'elysium', 'terrible']","[-0.3913247067729121, 0.32421731827211747, -0.2752594749528484, -0.19797745733752772, -0.19027298038589932, -0.18227917402959753, 0.17498284755693724, -0.16782353059590488, 0.16302142628086802, 0.15174785444243286]"
64,"['garbage', 'zaum', 'trilogy', 'disco', 'kim', 'run', 'creator', 'beautiful', 'witcher', 'terrible']","[-0.4314950620764816, 0.28525071994402285, -0.2465602768690813, -0.2332667096414716, 0.2159529406273718, -0.14672635929994868, 0.13943148623579696, 0.13213394915935284, 0.12667212163651087, 0.12202784622327749]"
65,"['kim', 'kitsuragi', 'cyberpunk', 'garbage', 'unplayable', 'update', 'feel', 'phantom', 'liberty', 'fix']","[0.4926909839374936, 0.24709667819545844, 0.22399299754210442, 0.20766414619990148, -0.19108762136572255, 0.1555430627640334, -0.14692572819228267, 0.14223309955029487, 0.14195287669870799, 0.13620710203706607]"
66,"['twice', 'sekiro', 'cyberpunk', 'die', 'shadow', 'died', 'zaum', 'disco', 'every', 'city']","[-0.4535435309482085, -0.37860175128012624, 0.28708380998387745, -0.26408065500832417, -0.22997882828110366, -0.18902416451395235, 0.1560487014031266, -0.14518689200286258, 0.13516356970283136, 0.1327526635156353]"
67,"['cyberpunk', 'zaum', 'kim', 'sekiro', 'twice', 'experience', 'unplayable', 'beautiful', 'save', 'kitsuragi']","[0.3190503506471698, 0.2907598887296822, -0.28444778878720556, 0.2513840356842317, 0.2357067205973447, -0.19345264600945764, -0.16764314448595893, -0.15612588936407856, -0.15055340351157143, -0.14460825748259587]"
68,"['meh', 'trilogy', 'garbage', 'update', 'far', 'graphic', 'act', 'poe', 'feel', 'twice']","[-0.4153196768172333, 0.4084476997083479, -0.2066853546767381, 0.19039863253703085, 0.18644754490204576, -0.14886273986304654, -0.13631865590904466, 0.13582985317296595, -0.12818973214345558, -0.12703131584111838]"
69,"['meh', 'kim', 'feel', 'beautiful', 'trilogy', 'series', 'zaum', 'sex', 'kitsuragi', 'start']","[0.4399846131171491, -0.27649901374181673, -0.2313021700229387, 0.21525038154160195, 0.20863429378515516, -0.17369396749730037, -0.17152721207347552, 0.14387886464504387, -0.14078173930782625, -0.13153385596490288]"
70,"['run', 'garbage', 'trilogy', 'meh', 'fix', 'kim', 'life', 'beautiful', 'feel', 'enemy']","[0.2595786652477142, -0.2526881650455403, -0.23265628399630858, 0.22887398431080178, -0.20981409981161991, 0.19893866004827185, -0.15422245065676668, -0.15407025011905878, -0.14274297270884082, 0.1409586382054373]"
71,"['trilogy', 'beautiful', 'meh', 'need', 'update', 'account', 'zaum', 'graphic', 'bethesda', 'character']","[-0.3696499320027315, 0.36015680058544575, -0.33057461401448507, -0.19134650230671463, -0.18396197740927428, -0.1775579947318032, -0.15850007325418777, -0.13787434630919243, 0.12089898261944067, 0.11636599591756491]"
72,"['zaum', 'sbi', 'diablo', 'creator', 'bethesda', 'stolen', 'run', 'original', 'deck', 'cdpr']","[0.3995845178030449, -0.29589719476626286, 0.2804055650078652, -0.239981016616937, -0.22625685034267046, -0.1949686928148086, 0.19350727956745492, -0.18551709796429705, 0.17883355174496002, -0.1760139616315553]"
73,"['offline', 'account', 'internet', 'requires', 'sex', 'single', 'save', 'update', 'online', 'deck']","[-0.24747260857596767, -0.23556458903156727, -0.21317235340037902, -0.20200930325845531, 0.1980397645999304, -0.18871497100283113, 0.18489542722890392, 0.17608246443407194, -0.13481807519413164, 0.1321443401294959]"
74,"['diablo', 'zaum', 'arpg', 'creator', 'internet', 'offline', 'original', 'stolen', 'single', 'poe']","[-0.7280927611055584, 0.23780426094363358, -0.1768736070630411, -0.15315654475144905, -0.13265226632534388, -0.12225761105639009, -0.1215952417096778, -0.12045571275522148, -0.11467501576240553, 0.10994982632208702]"
