topic_id,words,scores
65,"['evil', 'rule', 'there', 'never', 'youre', 'every', 'writer', 'thats', 'god', 'first']","[0.014764243, 0.01372153, 0.01337773, 0.011815359, 0.011704023, 0.009945721, 0.009714067, 0.009311549, 0.008610438, 0.008161204]"
66,"['effect', 'mass', 'trilogy', 'super', 'lol', 'team', 'error', 'space', 'scifi', 'penny']","[0.2382845, 0.17742832, 0.108509414, 0.08212319, 0.040385433, 0.038900584, 0.035563316, 0.034446202, 0.02414102, 0.02124669]"
67,"['world', 'every', 'feel', 'adventure', 'storytelling', 'character', 'new', 'deep', 'journey', 'youre']","[0.03835719, 0.031457, 0.019847086, 0.018455219, 0.015933095, 0.014340402, 0.0138765825, 0.013070194, 0.013026307, 0.012327523]"
68,"['sure', 'ive', 'find', 'ill', 'wont', 'spent', 'maybe', 'trying', 'dont', 'enjoying']","[0.064620286, 0.062019598, 0.061486058, 0.05510207, 0.04535974, 0.044223964, 0.042750955, 0.041500736, 0.03227518, 0.031581625]"
69,"['need', 'attack', 'gear', 'hit', 'launcher', 'account', 'impossible', 'solo', 'single', 'every']","[0.20286855, 0.07809382, 0.07520839, 0.054871608, 0.04336481, 0.035715733, 0.03318084, 0.031919997, 0.028127007, 0.020837618]"
70,"['didnt', 'end', 'felt', 'couldnt', 'finish', 'first', 'ending', 'wanted', 'never', 'lost']","[0.09046938, 0.05827792, 0.056210164, 0.03792487, 0.035889655, 0.035192367, 0.03395938, 0.027393095, 0.026408259, 0.024060015]"
71,"['year', 'wait', 'release', 'cant', 'ago', 'last', 'later', 'since', 'month', 'decade']","[0.19549371, 0.07686039, 0.055461593, 0.044436924, 0.03313578, 0.033038322, 0.028284429, 0.025765844, 0.025558459, 0.024107777]"
72,"['mob', 'buggy', 'idea', 'plus', 'disappointing', 'veteran', 'concept', 'ups', 'par', 'flexibility']","[0.17894804, 0.15262024, 0.13826145, 0.12056188, 0.05802645, 0.033770934, 0.032657057, 0.025415676, 0.02273909, 0.020410338]"
73,"['shit', 'literally', 'veilguard', 'as', 'hell', 'edit', 'get', 'gon', 'thumb', 'sorry']","[0.14824387, 0.11297049, 0.088970795, 0.07084731, 0.06850083, 0.06799787, 0.06643803, 0.057486836, 0.032940276, 0.029489214]"
74,"['bos', 'fight', 'boss', 'hard', 'difficulty', 'rewarding', 'stupid', 'way', 'final', 'learn']","[0.19873218, 0.16923398, 0.15769127, 0.12747115, 0.04943898, 0.027988924, 0.027294345, 0.026580941, 0.02303166, 0.019994045]"
75,"['dont', 'there', 'money', 'thing', 'lot', 'way', 'waste', 'thats', 'unless', 'youre']","[0.21160544, 0.08060311, 0.06577421, 0.053414635, 0.050258495, 0.04407702, 0.03461446, 0.0312769, 0.022129541, 0.022083832]"
76,"['die', 'positive', 'epic', 'became', 'pool', 'common', 'junk', 'portal', 'folk', 'angry']","[0.21127215, 0.08560497, 0.05994983, 0.04236181, 0.031775907, 0.028883886, 0.028415602, 0.01998045, 0.019919207, 0.018772038]"
77,"['random', 'patience', 'bother', 'door', 'throw', 'needed', 'meant', 'armour', 'warning', 'sit']","[0.045084752, 0.031281505, 0.027673246, 0.027597751, 0.025114924, 0.02104872, 0.020054335, 0.019888958, 0.018620552, 0.018205894]"
78,"['monster', 'legendary', 'list', 'management', 'ingame', 'improved', 'push', 'prepare', 'among', 'kiss']","[0.11390773, 0.106000945, 0.08875491, 0.06296075, 0.051164348, 0.043837782, 0.02623635, 0.024687696, 0.021525275, 0.021193746]"
79,"['developer', 'thank', 'company', 'mess', 'remember', 'longer', 'horrible', 'giving', 'gone', 'red']","[0.09126635, 0.07901783, 0.07290519, 0.06763109, 0.05847802, 0.05550238, 0.048639785, 0.045316394, 0.03687738, 0.035054166]"
80,"['constantly', 'barely', 'poor', 'mid', 'joke', 'moving', 'badly', 'painful', 'buck', 'stuttering']","[0.14434673, 0.0729315, 0.06457799, 0.046872962, 0.031306196, 0.026351016, 0.02620357, 0.02315365, 0.021611184, 0.018029418]"
81,"['found', 'sin', 'multiplayer', 'bored', 'box', 'rough', 'prefer', 'intro', 'addicting', 'gripe']","[0.124471605, 0.11362219, 0.107852265, 0.052940395, 0.04585366, 0.037930943, 0.034467682, 0.029684866, 0.026314056, 0.025385652]"
82,"['life', 'real', 'power', 'face', 'wonder', 'connection', 'ruin', 'realistic', 'complicated', 'form']","[0.2079891, 0.08680647, 0.029076263, 0.024582047, 0.022374148, 0.020846013, 0.020218804, 0.019271879, 0.01800006, 0.016424771]"
83,"['grind', 'easy', 'brain', 'average', 'long', 'hard', 'bug', 'decent', 'money', 'gameplay']","[0.033934467, 0.03350042, 0.029945616, 0.0275673, 0.026384018, 0.021821178, 0.019966925, 0.016638042, 0.015333129, 0.015257761]"
84,"['awesome', 'word', 'whatever', 'simple', 'hopefully', 'tired', 'small', 'describe', 'port', 'designed']","[0.21698242, 0.08935908, 0.06784918, 0.053750537, 0.04973813, 0.045248076, 0.04100633, 0.03767617, 0.03462761, 0.02076258]"
85,"['map', 'dodge', 'basically', 'key', 'menu', 'design', 'tier', 'wouldnt', 'rng', 'huge']","[0.23616187, 0.084548295, 0.054351892, 0.047063142, 0.04106934, 0.038872965, 0.038399253, 0.036347214, 0.026131405, 0.02095347]"
86,"['modern', 'refund', 'witcher', 'entry', 'one', 'puzzle', 'store', 'handle', 'remake', 'fat']","[0.15081072, 0.12582919, 0.1231309, 0.07401195, 0.054039218, 0.050219502, 0.033300947, 0.02719862, 0.019238854, 0.018862862]"
87,"['combat', 'system', 'larian', 'party', 'encounter', 'studio', 'potion', 'idk', 'wrote', 'master']","[0.32988623, 0.17054579, 0.13970423, 0.111502595, 0.042543896, 0.036033385, 0.01097968, 0.009402617, 0.007847691, 0.007820263]"
88,"['suck', 'coop', 'kinda', 'classic', 'slower', 'paid', 'forced', 'meh', 'pain', 'hardest']","[0.1849924, 0.10734095, 0.093682684, 0.09309397, 0.06363103, 0.049185682, 0.047417987, 0.04163218, 0.037767496, 0.033526693]"
